Time      ,Cpu Percent,Cpu Percent (WMI),ContextSwitches (WMI),CpuQueueLength (WMI),Threads (WMI),Processes (WMI),BuildXL Cpu Percent,JobObject Cpu Percent,JobObject Processes,Ram Percent,EffectiveRam Percent,Used Ram Mb,Free Ram Mb,ModifiedPagelistMb,Commit Percent,Used Commit Mb,Free Commit Mb,NetworkBandwidth,MachineKbitsPerSecSent,MachineKbitsPerSecReceived,DispatchIterations,DispatchTriggers,DispatchMs,ChooseQueueFastNextCount,ChooseQueueRunTimeMs,ChooseLastBlocked,ChooseBlockedCount,ChooseSuccessCount,ChooseIterations,ChooseSeconds,LastSchedulerConcurrencyLimiter,LimitingResource,MemoryResourceAvailability,CpuResourceAvailability,ProcessRetriesDueToResourceLimits,EmptyWorkingSetSucceeded,ResourceManager_TotalUsedWorkingSet,ResourceManager_TotalUsedPeakWorkingSet,ResourceManager_TotalRamNeededForResume,ResourceManager_LastRequiredSize,ResourceManager_LastManageMemoryMode,ResourceManager_NumSuspended,State.Ignored,State.Waiting,State.Ready,State.Running,State.Done,State.Failed,State.Skipped,State.Canceled,IO Queued,IO Running,IO CurrentMax,CPU Queued,CPU Running,CPU CurrentMax,CPU RunningPips,Light Queued,Light Running,Light CurrentMax,CacheLookup Queued,CacheLookup Running,CacheLookup CurrentMax,ChooseWorkerCpu Queued,ChooseWorkerCpu Running,ChooseWorkerCpu CurrentMax,ChooseWorkerCacheLookup Queued,ChooseWorkerCacheLookup Running,ChooseWorkerCacheLookup CurrentMax,ChooseWorkerLight Queued,ChooseWorkerLight Running,ChooseWorkerLight CurrentMax,SealDirs Queued,SealDirs Running,SealDirs CurrentMax,DelayedCacheLookup Queued,DelayedCacheLookup Running,DelayedCacheLookup CurrentMax,Materialize Queued,Materialize Running,Materialize CurrentMax,Running PipExecutor Processes,Running Processes,PipTable.ReadCount,PipTable.ReadDurationMs,PipTable.WriteCount,PipTable.WriteDurationMs,Drive 'C' % Active,Drive 'D' % Active,Drive 'C' QueueDepth,Drive 'D' QueueDepth,Drive 'C' AvailableSpaceGB,Drive 'D' AvailableSpaceGB,WriteFile Waiting,WriteFile Ready,WriteFile Running,WriteFile Done,CopyFile Waiting,CopyFile Ready,CopyFile Running,CopyFile Done,Process Waiting,Process Ready,Process Running,Process Done,Ipc Waiting,Ipc Ready,Ipc Running,Ipc Done,Value Waiting,Value Ready,Value Running,Value Done,SpecFile Waiting,SpecFile Ready,SpecFile Running,SpecFile Done,Module Waiting,Module Ready,Module Running,Module Done,HashSourceFile Waiting,HashSourceFile Ready,HashSourceFile Running,HashSourceFile Done,SealDirectory Waiting,SealDirectory Ready,SealDirectory Running,SealDirectory Done,Domino.CPUPercent,Domino.WorkingSetMB,UnresponsivenessFactor,Start Active,Start Total,Cancel Active,Cancel Total,Skip Active,Skip Total,CheckIncrementalSkip Active,CheckIncrementalSkip Total,MaterializeInputs Active,MaterializeInputs Total,MaterializeOutputs Active,MaterializeOutputs Total,ExecuteNonProcessPip Active,ExecuteNonProcessPip Total,CacheLookup Active,CacheLookup Total,RunFromCache Active,RunFromCache Total,ExecuteProcess Active,ExecuteProcess Total,PostProcess Active,PostProcess Total,HandleResult Active,HandleResult Total,ChooseWorkerCpu Active,ChooseWorkerCpu Total,ChooseWorkerCacheLookup Active,ChooseWorkerCacheLookup Total,DelayedCacheLookup Active,DelayedCacheLookup Total,Done Active,Done Total,ProcessPipsPending,ProcessPipsAllocatedSlots,ProcessPipsWaiting,TotalAcquiredProcessSlots,AvailableWorkersCount,W0 Total CacheLookup Slots,W0 Used CacheLookup Slots,W0 Total MaterializeInput Slots,W0 Used MaterializeInput Slots,W0 Total Process Slots,W0 Used Process Slots,W0 Used PostProcess Slots,W0 Total Light Slots,W0 Used Light Slots,W0 Waiting BuildRequests Count,W0 BatchSize Count,W0 Total Ram Mb,W0 Estimated Free Ram Mb,W0 Actual Free Ram Mb,W0 Total Commit Mb,W0 Estimated Free Commit Mb,W0 Actual Free Commit Mb,W0 Status,W0 ChosenForCacheLookup,W0 ChosenForExecution,W0 Queued,W0 Prepping,W0 Prepped,W0 Executing,W0 Executed
    [0:22],          0,                0,                    0,                   0,            0,              0,                  0,                    0,                  0,          0,                   0,          0,          0,                 0,             0,             0,             0,               0,                     0,                         0,                 1,              21,         1,                       0,                   0,              N/A,                 0,                 0,               0,            0,                            N/A,           Other,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            3,          1,            0,         0,           0,            0,             0,        0,         1,            4,         3,         16,            16,             16,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            0,                0,                17,                      0,                 31,                      17,                 0,                 0,                   0,                   0,                         0,                         0,                0,              0,                0,             0,               0,             0,               0,            0,              1,            1,              0,           0,          0,        0,          0,       0,            1,          0,            0,         0,               1,            19,               0,            0,             2,           0,             0,          0,                     0,                   0,                     0,                  0,                    2,                  0,                    0,                 0,                0,                  0,                     0,           0,          0,            0,           0,          0,         0,                          0,                         0,                       0,                      0,                        0,                       0,                          0,                         0,                 0,                0,                  0,                 0,                    0,                   0,                 0,                0,                  0,                 0,                     0,                    0,                             0,                            0,                        0,                       0,          0,         0,                 2,                        0,                 2,                        0,                    1,                        32,                        0,                             16,                             0,                    16,                    0,                        0,                1000,                  0,                             0,                 0,              0,                       0,                    0,        2147483647,                 2147483647,                       0,  Running,                      0,                    0,        0,          0,         0,           0,          0
    [0:24],         11,                9,                12537,                   0,         3326,            253,                  7,                    8,                 53,         31,                  29,      10107,      22375,               439,            26,         10872,         30826,       100000000,                     3,                        29,                33,              71,         2,                       1,             12.2532,              N/A,                 0,                 1,               1,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            3,          0,            1,         0,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                21,                      0,                 31,                      17,                 5,                 0,                   0,                   0,                        25,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              1,            0,              1,           0,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    2,                  0,                    0,                 0,                7,                352,                     1,           0,         21,            0,           0,          0,         0,                          0,                         1,                       0,                      1,                        0,                       0,                          0,                        20,                 0,                1,                  0,                 0,                    1,                   1,                 0,                0,                  0,                20,                     0,                    1,                             0,                            1,                        0,                       0,         20,        20,                 2,                        1,                 1,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22727,                   22727,                22375,             41698,                      41698,                   30826,  Running,                      0,                    0,        0,          0,         0,           1,          0
    [0:26],         10,               23,                62585,                   0,         3364,            254,                  6,                    8,                 53,         31,                  29,      10176,      22306,               562,            26,         10861,         30837,       100000000,                    12,                        25,                33,              71,         2,                       1,             12.2532,              N/A,                 0,                 1,               1,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            3,          0,            1,         0,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                21,                      0,                 31,                      17,                18,                 0,                   0,                   0,                        25,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              1,            0,              1,           0,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    2,                  0,                    0,                 0,                6,                354,                     1,           0,         21,            0,           0,          0,         0,                          0,                         1,                       0,                      1,                        0,                       0,                          0,                        20,                 0,                1,                  0,                 0,                    1,                   1,                 0,                0,                  0,                20,                     0,                    1,                             0,                            1,                        0,                       0,         20,        20,                 2,                        1,                 1,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22727,                   22727,                22306,             41698,                      41698,                   30837,  Running,                      0,                    0,        0,          0,         0,           1,          0
    [0:28],          9,               18,                49739,                   0,         3367,            254,                  6,                    6,                 53,         31,                  29,      10273,      22209,               584,            26,         10864,         30834,       100000000,                     0,                        17,                42,              95,         2,                       2,             13.6303,              N/A,                 0,                 2,               2,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            1,          0,            1,         2,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                23,                      0,                 31,                      17,                25,                 0,                   0,                   0,                        25,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              0,            0,              1,           1,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    1,                  0,                    0,                 1,                6,                355,                     1,           0,         23,            0,           0,          0,         0,                          0,                         3,                       0,                      2,                        0,                       1,                          0,                        21,                 0,                2,                  0,                 0,                    1,                   2,                 0,                1,                  0,                22,                     0,                    2,                             0,                            2,                        0,                       0,         22,        22,                 1,                        1,                 0,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22727,                   21591,                22209,             41698,                      41698,                   30834,  Running,                      0,                    0,        0,          0,         0,           2,          0
    [0:30],         15,               18,                14215,                   0,         3357,            256,                  4,                    7,                 66,         32,                  30,      10407,      22075,               509,            26,         10920,         30778,       100000000,                     5,                        16,                42,              95,         2,                       2,             13.6303,              N/A,                 0,                 2,               2,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            1,          0,            1,         2,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                23,                      0,                 31,                      17,                20,                 0,                   0,                   0,                        24,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              0,            0,              1,           1,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    1,                  0,                    0,                 1,                4,                364,                     1,           0,         23,            0,           0,          0,         0,                          0,                         3,                       0,                      2,                        0,                       1,                          0,                        21,                 0,                2,                  0,                 0,                    1,                   2,                 0,                1,                  0,                22,                     0,                    2,                             0,                            2,                        0,                       0,         22,        22,                 1,                        1,                 0,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22727,                   21591,                22075,             41698,                      41698,                   30778,  Running,                      0,                    0,        0,          0,         0,           2,          0
    [0:32],          8,                9,                 7079,                   0,         3386,            256,                  4,                    4,                 66,         31,                  29,      10309,      22173,               629,            26,         10908,         30790,       100000000,                    14,                        53,                42,              95,         2,                       2,             13.6303,              N/A,                 0,                 2,               2,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            1,          0,            1,         2,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                23,                      0,                 31,                      17,                19,                 0,                   0,                   0,                        25,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              0,            0,              1,           1,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    1,                  0,                    0,                 1,                4,                365,                     1,           0,         23,            0,           0,          0,         0,                          0,                         3,                       0,                      2,                        0,                       1,                          0,                        21,                 0,                2,                  0,                 0,                    1,                   2,                 0,                1,                  0,                22,                     0,                    2,                             0,                            2,                        0,                       0,         22,        22,                 1,                        1,                 0,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22727,                   21591,                22173,             41698,                      41698,                   30790,  Running,                      0,                    0,        0,          0,         0,           2,          0
    [0:33],          9,               12,                34977,                   0,         3370,            254,                  5,                    5,                 66,         32,                  30,      10440,      22042,               488,            26,         10905,         30793,       100000000,                     1,                        70,                45,             106,         2,                       2,             13.6303,              N/A,                 0,                 2,               2,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            0,          0,            0,         4,           0,            0,             0,        0,         0,            4,         0,          0,            16,              0,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            0,                0,                27,                      0,                 31,                      17,                32,                 0,                   0,                   0,                        24,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              0,            0,              0,           2,          0,        0,          0,       0,            0,          0,            0,         1,               0,             0,               0,           20,             0,           0,             0,          2,                     0,                   0,                     0,                  0,                    0,                  0,                    0,                 2,                5,                358,                     0,           0,         27,            0,           0,          0,         0,                          0,                         4,                       0,                      2,                        0,                       2,                          0,                        25,                 0,                2,                  0,                 0,                    0,                   2,                 0,                2,                  0,                27,                     0,                    2,                             0,                            2,                        0,                       0,         27,        27,                 0,                        0,                 0,                        0,                    0,                        32,                        0,                             16,                             0,                    16,                    0,                        0,                1000,                  0,                             0,                 0,          22727,                   22727,                22042,             41698,                      41698,                   30793,  Stopped,                      0,                    0,        0,          0,         0,           2,          0
