Time      ,Cpu Percent,Cpu Percent (WMI),ContextSwitches (WMI),CpuQueueLength (WMI),Threads (WMI),Processes (WMI),BuildXL Cpu Percent,JobObject Cpu Percent,JobObject Processes,Ram Percent,EffectiveRam Percent,Used Ram Mb,Free Ram Mb,ModifiedPagelistMb,Commit Percent,Used Commit Mb,Free Commit Mb,NetworkBandwidth,MachineKbitsPerSecSent,MachineKbitsPerSecReceived,DispatchIterations,DispatchTriggers,DispatchMs,ChooseQueueFastNextCount,ChooseQueueRunTimeMs,ChooseLastBlocked,ChooseBlockedCount,ChooseSuccessCount,ChooseIterations,ChooseSeconds,LastSchedulerConcurrencyLimiter,LimitingResource,MemoryResourceAvailability,CpuResourceAvailability,ProcessRetriesDueToResourceLimits,EmptyWorkingSetSucceeded,ResourceManager_TotalUsedWorkingSet,ResourceManager_TotalUsedPeakWorkingSet,ResourceManager_TotalRamNeededForResume,ResourceManager_LastRequiredSize,ResourceManager_LastManageMemoryMode,ResourceManager_NumSuspended,State.Ignored,State.Waiting,State.Ready,State.Running,State.Done,State.Failed,State.Skipped,State.Canceled,IO Queued,IO Running,IO CurrentMax,CPU Queued,CPU Running,CPU CurrentMax,CPU RunningPips,Light Queued,Light Running,Light CurrentMax,CacheLookup Queued,CacheLookup Running,CacheLookup CurrentMax,ChooseWorkerCpu Queued,ChooseWorkerCpu Running,ChooseWorkerCpu CurrentMax,ChooseWorkerCacheLookup Queued,ChooseWorkerCacheLookup Running,ChooseWorkerCacheLookup CurrentMax,ChooseWorkerLight Queued,ChooseWorkerLight Running,ChooseWorkerLight CurrentMax,SealDirs Queued,SealDirs Running,SealDirs CurrentMax,DelayedCacheLookup Queued,DelayedCacheLookup Running,DelayedCacheLookup CurrentMax,Materialize Queued,Materialize Running,Materialize CurrentMax,Running PipExecutor Processes,Running Processes,PipTable.ReadCount,PipTable.ReadDurationMs,PipTable.WriteCount,PipTable.WriteDurationMs,Drive 'C' % Active,Drive 'D' % Active,Drive 'C' QueueDepth,Drive 'D' QueueDepth,Drive 'C' AvailableSpaceGB,Drive 'D' AvailableSpaceGB,WriteFile Waiting,WriteFile Ready,WriteFile Running,WriteFile Done,CopyFile Waiting,CopyFile Ready,CopyFile Running,CopyFile Done,Process Waiting,Process Ready,Process Running,Process Done,Ipc Waiting,Ipc Ready,Ipc Running,Ipc Done,Value Waiting,Value Ready,Value Running,Value Done,SpecFile Waiting,SpecFile Ready,SpecFile Running,SpecFile Done,Module Waiting,Module Ready,Module Running,Module Done,HashSourceFile Waiting,HashSourceFile Ready,HashSourceFile Running,HashSourceFile Done,SealDirectory Waiting,SealDirectory Ready,SealDirectory Running,SealDirectory Done,Domino.CPUPercent,Domino.WorkingSetMB,UnresponsivenessFactor,Start Active,Start Total,Cancel Active,Cancel Total,Skip Active,Skip Total,CheckIncrementalSkip Active,CheckIncrementalSkip Total,MaterializeInputs Active,MaterializeInputs Total,MaterializeOutputs Active,MaterializeOutputs Total,ExecuteNonProcessPip Active,ExecuteNonProcessPip Total,CacheLookup Active,CacheLookup Total,RunFromCache Active,RunFromCache Total,ExecuteProcess Active,ExecuteProcess Total,PostProcess Active,PostProcess Total,HandleResult Active,HandleResult Total,ChooseWorkerCpu Active,ChooseWorkerCpu Total,ChooseWorkerCacheLookup Active,ChooseWorkerCacheLookup Total,DelayedCacheLookup Active,DelayedCacheLookup Total,Done Active,Done Total,ProcessPipsPending,ProcessPipsAllocatedSlots,ProcessPipsWaiting,TotalAcquiredProcessSlots,AvailableWorkersCount,W0 Total CacheLookup Slots,W0 Used CacheLookup Slots,W0 Total MaterializeInput Slots,W0 Used MaterializeInput Slots,W0 Total Process Slots,W0 Used Process Slots,W0 Used PostProcess Slots,W0 Total Light Slots,W0 Used Light Slots,W0 Waiting BuildRequests Count,W0 BatchSize Count,W0 Total Ram Mb,W0 Estimated Free Ram Mb,W0 Actual Free Ram Mb,W0 Total Commit Mb,W0 Estimated Free Commit Mb,W0 Actual Free Commit Mb,W0 Status,W0 ChosenForCacheLookup,W0 ChosenForExecution,W0 Queued,W0 Prepping,W0 Prepped,W0 Executing,W0 Executed
    [0:07],          0,                0,                    0,                   0,            0,              0,                  0,                    0,                  0,          0,                   0,          0,          0,                 0,             0,             0,             0,               0,                     0,                         0,                21,              51,         1,                       0,                   0,              N/A,                 0,                 0,               0,            0,                            N/A,           Other,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            3,          0,            1,         0,           0,            0,             0,        0,         1,            4,         0,          0,            16,              0,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            0,                0,                21,                      1,                 31,                      17,                 0,                 0,                   0,                   0,                         0,                         0,                0,              0,                0,             0,               0,             0,               0,            0,              1,            0,              1,           0,          0,        0,          0,       0,            1,          0,            0,         0,               1,             7,              12,            0,             2,           0,             0,          0,                     0,                   0,                     0,                  0,                    2,                  0,                    0,                 0,                0,                  0,                     0,           1,          1,            0,           0,          0,         0,                          0,                         0,                       0,                      0,                        0,                       0,                          0,                         0,                 0,                0,                  0,                 0,                    0,                   0,                 0,                0,                  0,                 0,                     0,                    0,                             0,                            0,                        0,                       0,          0,         0,                 2,                        0,                 2,                        0,                    1,                        32,                        0,                             16,                             0,                    16,                    0,                        0,                1000,                  0,                             0,                 0,              0,                       0,                    0,        2147483647,                 2147483647,                       0,  Running,                      0,                    0,        0,          0,         0,           0,          0
    [0:09],          0,                0,                    0,                   0,            0,              0,                  0,                    0,                  6,         30,                  30,       9980,      22502,                 0,            24,         10297,         31401,       100000000,                    51,                       118,                28,              71,         2,                       1,             12.4649,              N/A,                 0,                 1,               1,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            3,          0,            1,         0,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                21,                      1,                 31,                      17,                 5,                 0,                   0,                   0,                        25,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              1,            0,              1,           0,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    2,                  0,                    0,                 0,                0,                310,                     1,           0,         21,            0,           0,          0,         0,                          0,                         1,                       0,                      1,                        0,                       0,                          0,                        20,                 0,                1,                  0,                 0,                    1,                   1,                 0,                0,                  0,                20,                     0,                    1,                             0,                            1,                        0,                       0,         20,        20,                 2,                        1,                 1,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22812,                   22812,                22502,             41698,                      41698,                   31401,  Running,                      0,                    0,        0,          0,         0,           1,          0
    [0:11],         10,               11,                 4542,                   0,         3349,            255,                  6,                    7,                 12,         30,                  28,       9844,      22638,               597,            24,         10329,         31369,       100000000,                     2,                        28,                37,              95,         2,                       2,             13.8824,              N/A,                 0,                 2,               2,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            1,          0,            1,         2,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                23,                      1,                 31,                      17,                20,                 0,                   0,                   0,                        25,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              0,            0,              1,           1,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    1,                  0,                    0,                 1,                6,                322,                     1,           0,         23,            0,           0,          0,         0,                          0,                         3,                       0,                      2,                        0,                       1,                          0,                        21,                 0,                2,                  0,                 0,                    1,                   2,                 0,                1,                  0,                22,                     0,                    2,                             0,                            2,                        0,                       0,         22,        22,                 1,                        1,                 0,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22812,                   21672,                22638,             41698,                      41698,                   31369,  Running,                      0,                    0,        0,          0,         0,           2,          0
    [0:13],         16,               10,                21057,                   0,         3362,            259,                  4,                    6,                 19,         31,                  29,      10173,      22309,               494,            25,         10441,         31257,       100000000,                    11,                        13,                37,              95,         2,                       2,             13.8824,              N/A,                 0,                 2,               2,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            1,          0,            1,         2,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                23,                      1,                 31,                      17,                22,                 0,                   0,                   0,                        24,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              0,            0,              1,           1,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    1,                  0,                    0,                 1,                4,                323,                     1,           0,         23,            0,           0,          0,         0,                          0,                         3,                       0,                      2,                        0,                       1,                          0,                        21,                 0,                2,                  0,                 0,                    1,                   2,                 0,                1,                  0,                22,                     0,                    2,                             0,                            2,                        0,                       0,         22,        22,                 1,                        1,                 0,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22812,                   21672,                22309,             41698,                      41698,                   31257,  Running,                      0,                    0,        0,          0,         0,           2,          0
    [0:15],         11,               18,                 5089,                   2,         3367,            254,                  4,                    4,                 19,         30,                  28,       9954,      22528,               643,            24,         10359,         31339,       100000000,                     6,                        59,                37,              95,         2,                       2,             13.8824,              N/A,                 0,                 2,               2,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            1,          0,            1,         2,           0,            0,             0,        0,         0,            4,         0,          1,            16,              1,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            1,                1,                23,                      1,                 31,                      17,                36,                 0,                   0,                   0,                        25,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              0,            0,              1,           1,          0,        0,          0,       0,            1,          0,            0,         0,               1,             0,               0,           19,             1,           0,             0,          1,                     0,                   0,                     0,                  0,                    1,                  0,                    0,                 1,                4,                324,                     1,           0,         23,            0,           0,          0,         0,                          0,                         3,                       0,                      2,                        0,                       1,                          0,                        21,                 0,                2,                  0,                 0,                    1,                   2,                 0,                1,                  0,                22,                     0,                    2,                             0,                            2,                        0,                       0,         22,        22,                 1,                        1,                 0,                        1,                    1,                        32,                        0,                             16,                             0,                    16,                    1,                        1,                1000,                  0,                             0,                 0,          22812,                   21672,                22528,             41698,                      41698,                   31339,  Running,                      0,                    0,        0,          0,         0,           2,          0
    [0:16],          8,               13,                30655,                   0,         3370,            254,                  6,                    6,                 19,         30,                  28,       9840,      22642,               606,            24,         10316,         31382,       100000000,                    60,                        73,                41,             106,         2,                       2,             13.8824,              N/A,                 0,                 2,               2,            0,                            N/A,      GraphShape,                 Available,                      1,                                0,                       0,                                  0,                                      0,                                      0,                               0,                                    ,                           0,            0,            0,          0,            0,         4,           0,            0,             0,        0,         0,            4,         0,          0,            16,              0,           0,            0,            1000,                 0,                  0,                    32,                     0,                      0,                         1,                             0,                              0,                                 1,                       0,                        0,                           1,              0,               0,                 16,                        0,                         0,                            1,                 0,                  0,                    16,                            0,                0,                27,                      1,                 31,                      17,                11,                 0,                   0,                   0,                        25,                         1,                0,              0,                0,             0,               0,             0,               0,            0,              0,            0,              0,           2,          0,        0,          0,       0,            0,          0,            0,         1,               0,             0,               0,           20,             0,           0,             0,          2,                     0,                   0,                     0,                  0,                    0,                  0,                    0,                 2,                6,                326,                     0,           0,         27,            0,           0,          0,         0,                          0,                         4,                       0,                      2,                        0,                       2,                          0,                        25,                 0,                2,                  0,                 0,                    0,                   2,                 0,                2,                  0,                27,                     0,                    2,                             0,                            2,                        0,                       0,         27,        27,                 0,                        0,                 0,                        0,                    0,                        32,                        0,                             16,                             0,                    16,                    0,                        0,                1000,                  0,                             0,                 0,          22812,                   22812,                22642,             41698,                      41698,                   31382,  Stopped,                      0,                    0,        0,          0,         0,           2,          0
